employee_id,job_level,department,start_month,status,stage,applicant_id,job_id,gender,assessment_center
emp10011,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,ddAThpsbG2,waR16ry6PL,Male,3.9
emp10014,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,lVOmgRxNBO,uecvRSmGQY,Male,3.8
emp10015,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,KI3KilK6uM,ISrhbgeGNN,Male,3.9
emp10016,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,tBf8LHXViq,Cxny3qdYNm,Male,4.3
emp10022,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,TcwhY8FWfC,30FHV49iG7,Male,4.1
emp10023,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,3JcRTOcMaV,8SNZAoQKEN,Female,4.5
emp10029,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,PP5yyYRxWp,GF92yiU7qw,Male,4.1
emp10033,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,GsbQs4nCBY,Wf1RTPG6Cv,Female,4
emp10036,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,Qm74GmiLb6,ngk3JWAusQ,Male,3.8
emp10038,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,hu6hVpN4BG,G8kweGzNlu,Male,4
emp10042,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,13Ke2p0UJd,FOtOX2HDup,Male,4
emp10043,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,Ej1PIJR2Fu,AJOeWOrTig,Female,4
emp10045,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,gOtC0Cby3i,bOhIUucDHh,Male,3.8
emp10048,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,LIRw3YtWB4,sx3F0wKVJl,Male,4.1
emp10051,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,IW6X859ee5,6EB9RolR89,Male,4.1
emp10059,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,FjzoG3rxe2,ewVXLwXCRo,Male,4
emp10060,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,RIKnIEl2Sb,KD7S83ZNiE,Male,3.9
emp10065,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,HKIHe0p9dy,tuu6WA6KsB,Female,4.1
emp10067,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,QEUw1dcHH6,PVNHrLTPJV,Male,4
emp10070,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,AjNSv2YNib,TzoUeewy6p,Male,3.9
emp10080,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,X9KzYqtjC4,XIX5awH5Hd,Female,4.4
emp10082,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,YgjmJpC7p2,Rd7hso6QyE,Male,3.9
emp10083,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,lo35xXpafY,sr20ZLfHRM,Male,4.1
emp10084,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,x7oNPgw0is,Mt7n306XJ0,Male,3.9
emp10086,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,QNeAtYjDFa,GqrZwjVHu0,Female,4.6
emp10088,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,QBNDpfaaSF,iQZWJaSYzx,Male,4.4
emp10097,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,ZPyGChAy5L,opVIBIYAKC,Female,4.1
emp10098,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,UZ5mPnQPrk,Ae8CGFLHME,Female,3.9
emp10107,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,pbXZsyEmxj,FbzIHGBB8b,Male,4.3
emp10110,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,rc3vabVoGu,JemCPL9o8G,Female,4.1
emp10111,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,nQbqr9DQuW,efYg3P0SqG,Male,4
emp10113,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,2gVNDpyLU9,lrX9zci50Y,Female,3.9
emp10117,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,sxiB9Kk8YI,NNHkq6Qf9V,Male,4.1
emp10124,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,hj4kAHCr63,scXm5BJ7yg,Female,3.8
emp10125,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,KvFXjfCdQu,Gp1DcyCwDm,Male,4
emp10128,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,MGkGaHfFQe,5KPIHIRNJQ,Male,4.2
emp10130,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,YNfJjlLY6T,ai1KqpHXkl,Male,4
emp10137,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,NrMT6cyS46,ao2q79cJOM,Male,4
emp10143,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,nBBhOVS1KG,W8CRgyDGTH,Female,4.2
emp10145,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,yuLE10gxZF,I7LESmCD09,Female,3.8
emp10146,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,uQUjo7tIc4,aQaXAL5FLi,Female,4
emp10154,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,1ceg7cJLIN,DmkcL7Ob38,Male,4.2
emp10155,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,nXGoCgDCPv,ESYlbf4akr,Male,4.4
emp10157,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,1sdpKYfw58,LVK5rOou9h,Male,4.1
emp10159,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,bQLsu0ecmJ,qIOiIFKUux,Male,3.9
emp10162,Entry Level/ Manual,Sales,2000-01-01,hired,Stage 4: Assessment Center,nftUAEqgBQ,X7pS9eTZd0,Male,4.3
emp10172,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,UJYjlCI7q3,lEUVcMd0de,Male,3.8
emp10174,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,W5KOcjwGkq,ZiIdMmsE5x,Female,4
emp10176,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,GxnYHJMRvZ,0rrzUNxTrG,Male,4.2
emp10178,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,nc4Nn7FqiP,QLUE6CTOX1,Male,4.2
emp10186,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,JzMWTPUpef,eZi1mXJBJL,Male,4.1
emp10190,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,BOANRITu10,vKxX8gg1ap,Male,3.7
emp10195,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,q6dxh7K7gI,vLBueFDID1,Female,3.7
emp10199,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,g5kj5lbqHd,0ZilXg9VOt,Female,4.3
emp10202,Entry Level/ Manual,Sales,2000-02-01,hired,Stage 4: Assessment Center,BLuZG2OSRs,B0KW5BDPWD,Male,4.1
