employee_id,Self: Inspire with Purpose,Self: Drive for Results,Self: Own the Outcome,Self: Speak Up and Listen,Self: Lead with Empathy,Self: Grow Others,Self: Bridge Across Boundaries,Self: Act with Integrity,Self: Make it Simple,Self: Lead Change Fearlessly,Self: Learn and Adapt Fast,Self: Champion Diversity,Manager: Inspire with Purpose,Manager: Drive for Results,Manager: Own the Outcome,Manager: Speak Up and Listen,Manager: Lead with Empathy,Manager: Grow Others,Manager: Bridge Across Boundaries,Manager: Act with Integrity,Manager: Make it Simple,Manager: Lead Change Fearlessly,Manager: Learn and Adapt Fast,Manager: Champion Diversity,Peers: Inspire with Purpose,Peers: Drive for Results,Peers: Own the Outcome,Peers: Speak Up and Listen,Peers: Lead with Empathy,Peers: Grow Others,Peers: Bridge Across Boundaries,Peers: Act with Integrity,Peers: Make it Simple,Peers: Lead Change Fearlessly,Peers: Learn and Adapt Fast,Peers: Champion Diversity,Reports: Inspire with Purpose,Reports: Drive for Results,Reports: Own the Outcome,Reports: Speak Up and Listen,Reports: Lead with Empathy,Reports: Grow Others,Reports: Bridge Across Boundaries,Reports: Act with Integrity,Reports: Make it Simple,Reports: Lead Change Fearlessly,Reports: Learn and Adapt Fast,Reports: Champion Diversity
emp140186,5,3,4,4,5,4,4,4,4,4,5,4,4,4,4,4,5,5,3,4,4,4,5,4,3.643510423,4.328985095,4.221713179,3.83814935,4.163508285,3.872237375,3.264695635,4.598733207,4.576764006,4.63258113,4.015069508,4.716801424,4.286443427,3.914474364,4.811762421,4.398910695,4.397007596,4.396821458,3.760071428,4.331903247,4.558979354,4.266390586,4.075095954,4.186895015
emp138624,4,5,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,5,3.812761821,4.102059617,4.354275764,4.445145138,4.09257734,3.873532699,3.564420276,3.97154312,3.78778476,4.172707351,4.700011523,4.276304687,3.795867142,4.479888919,3.775840632,3.470923188,4.371690383,3.516259628,3.310028544,3.407279941,3.73499296,4.322008239,4.217104256,4.181821842
emp141327,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4.375593515,4.215033752,4.034825164,4.176128416,4.011940757,3.566649514,3.282441351,4.06297183,3.578424382,3.972660601,4.332682706,4.64533359,3.904108427,4.255181624,3.335913114,4.152940031,4.106020738,3.683393003,3.92813734,4.311534083,3.634700394,3.576284449,4.420078836,3.925805239
emp151049,4,5,4,5,5,3,4,5,4,4,4,4,4,4,5,4,4,4,4,5,4,5,4,4,3.594842348,4.143002963,4.310379824,3.459410035,4.028736722,3.839062177,3.277089509,4.279274056,4.393996328,4.676554321,4.057458657,3.369381786,4.254671123,4.481752682,4.562879483,3.814668324,4.562879483,3.888312854,4.026208695,4.477923776,3.683657254,4.017932762,3.709184834,4.51090159
emp134793,4,5,5,5,4,3,4,5,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,5,3.50496722,3.495186803,4.608906412,3.638298959,4.603188991,3.659816152,3.512450719,4.277142604,3.453019323,3.941165111,4.387852795,4.39837164,3.919355695,3.943096866,4.099592158,4.434088724,3.290307963,4.285208735,3.814466266,4.468334093,3.553890327,4.468334093,4.468334093,3.742792729
emp130807,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4.274687079,3.979410257,4.666348722,4.376552335,4.540604116,4.01380692,4.133673254,4.530711056,3.98168667,4.617337917,4.281358388,4.838434113,3.484000969,4.403202753,3.902449947,4.016289679,3.431789059,4.465302431,3.848403394,4.279339504,4.135597916,3.748838543,3.787860767,3.714357724
emp135235,3,3,4,3,4,5,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3.739108974,4.621285421,4.548929642,4.071644393,4.621285421,4.130768562,3.659237353,3.864928018,3.804384888,3.428638899,3.715753421,3.646074948,3.79759722,4.127005386,4.224391712,3.867301963,4.27796172,3.492442117,2.818143135,4.030458125,3.755923218,3.973078711,4.413509402,3.982986057
emp144241,5,4,4,5,4,4,3,4,4,4,5,5,4,4,5,3,5,4,4,5,4,4,4,4,3.724841347,4.640186735,4.098835749,3.998650613,4.250761349,4.298255636,4.310593762,4.63835984,4.193673073,4.838421282,4.143305963,4.121343166,3.487290304,4.812903099,4.112836451,4.205485936,4.318178029,4.203166939,4.0172346,3.883309475,4.667705776,4.411191166,4.527913087,4.481258757
emp146553,4,5,5,4,4,5,3,5,5,4,4,4,5,4,5,5,4,4,4,5,4,4,4,3,4.503654697,4.840814185,4.217834292,4.170415486,4.840814185,4.336264853,3.416212228,3.640507692,4.392426622,3.97361068,4.02908872,4.625066609,4.573894062,4.159269945,4.97170935,4.493642109,4.405896232,4.782190899,3.723562801,4.815532482,3.742019663,4.621796573,4.443471214,4.157956411
emp142783,4,4,4,3,4,4,4,5,3,5,4,5,4,5,4,4,4,3,4,4,4,5,5,4,3.633983167,4.099801645,3.692937435,3.863540489,4.07520364,3.764893163,3.326289634,3.849723638,3.736447691,3.806049559,4.11284808,3.211558657,3.666945753,4.068407292,3.544088789,3.395079655,3.355673558,3.711521149,3.379781563,4.441852228,4.420320318,4.180827161,4.395418034,3.779576222
