employee_id,job_level,country,department,start_date,leaving_date,tenure_years,employee_status,event_date,event_type,event_id,event_no,update_status
emp100003,Specialist,Germany,Marketing,2022-03-17,2023-02-25,0.95,Leaver,2022-09-24,Salary Increase,TbdSxEJpX2,1,active
emp100004,Entry Level,France,Consulting,2018-04-14,2020-04-18,2.01,Leaver,2018-11-29,Promotion,sNhsecARiM,1,historic
emp100004,Entry Level,France,Consulting,2018-04-14,2020-04-18,2.01,Leaver,2019-10-31,Promotion,bPpmRY32Ng,2,active
emp100006,Manager/ Senior Specialist,Germany,Consulting,2015-04-29,2020-12-29,5.67,Leaver,2016-05-09,Promotion,K9owln8hFz,1,historic
emp100006,Manager/ Senior Specialist,Germany,Consulting,2015-04-29,2020-12-29,5.67,Leaver,2018-04-20,Promotion,RdPjGSC0Ar,2,historic
emp100006,Manager/ Senior Specialist,Germany,Consulting,2015-04-29,2020-12-29,5.67,Leaver,2019-04-08,Promotion,f8hkEeltgm,3,historic
emp100006,Manager/ Senior Specialist,Germany,Consulting,2015-04-29,2020-12-29,5.67,Leaver,2019-09-08,Promotion,M4w9r5t6Yc,4,historic
emp100006,Manager/ Senior Specialist,Germany,Consulting,2015-04-29,2020-12-29,5.67,Leaver,2020-07-07,Promotion,OwBSq080dr,5,active
emp100008,Manager/ Senior Specialist,Germany,Finance,2020-10-26,NA,6.22,Current,2021-02-08,Promotion,EMverjb3T2,1,active
emp100009,Entry Level,Italy,Consulting,2022-03-05,2024-07-15,2.36,Leaver,2023-03-20,Promotion,8ir7TUYnWC,1,active
emp100010,Manager/ Senior Specialist,Germany,Finance,2015-08-13,2021-04-18,5.68,Leaver,2018-10-23,Promotion,VnpMFuXLcq,1,historic
emp100010,Manager/ Senior Specialist,Germany,Finance,2015-08-13,2021-04-18,5.68,Leaver,2019-05-28,Promotion,8ppibZJFxW,2,historic
emp100010,Manager/ Senior Specialist,Germany,Finance,2015-08-13,2021-04-18,5.68,Leaver,2021-03-17,Promotion,QmY5ye6bEQ,3,historic
emp100010,Manager/ Senior Specialist,Germany,Finance,2015-08-13,2021-04-18,5.68,Leaver,2021-04-03,Promotion,pkkmh2x5PV,4,active
emp100011,Specialist,Germany,Marketing,2022-09-15,2025-01-08,2.32,Leaver,2023-05-12,Promotion,QiULQpan1q,1,active
emp100013,Manager/ Senior Specialist,Netherlands,R&D,2018-02-19,2022-05-01,4.19,Leaver,2018-11-29,Promotion,SVIaZzPbxy,1,historic
emp100013,Manager/ Senior Specialist,Netherlands,R&D,2018-02-19,2022-05-01,4.19,Leaver,2022-01-18,Promotion,eaJIhKd4ZR,2,active
emp100014,Entry Level,Germany,Marketing,2023-12-25,NA,2.47,Current,2024-01-22,Department Change,1uIaEZWs8t,1,historic
emp100014,Entry Level,Germany,Marketing,2023-12-25,NA,2.47,Current,2024-03-03,Promotion,E8bDgjY2v6,2,active
emp100015,Entry Level,Spain,Sales,2019-12-13,2022-02-28,2.21,Leaver,2021-09-22,Promotion,lEo092Za4y,1,active
emp100016,Specialist,Germany,R&D,2018-12-10,2021-12-06,2.99,Leaver,2019-11-14,Promotion,aH2F1OV1BM,1,historic
emp100016,Specialist,Germany,R&D,2018-12-10,2021-12-06,2.99,Leaver,2021-05-23,Promotion,FpuH2Y9hYH,2,active
emp100020,Entry Level,Germany,Customer Service,2021-01-18,2023-02-20,2.09,Leaver,2021-06-03,Salary Increase,pGcGQVs2IX,1,active
emp100021,Specialist,Germany,Consulting,2017-12-25,2020-09-15,2.72,Leaver,2018-04-07,Salary Increase,cs51tZIdPU,1,historic
emp100021,Specialist,Germany,Consulting,2017-12-25,2020-09-15,2.72,Leaver,2018-06-02,Promotion,ioaAwrlzHw,2,historic
emp100021,Specialist,Germany,Consulting,2017-12-25,2020-09-15,2.72,Leaver,2018-06-16,Promotion,M7x9jFI76J,3,active
emp100023,Specialist,Italy,Consulting,2020-10-29,2023-04-30,2.5,Leaver,2022-10-23,Promotion,hF8FFW963v,1,historic
emp100023,Specialist,Italy,Consulting,2020-10-29,2023-04-30,2.5,Leaver,2023-04-10,Promotion,qgnZJGIwiQ,2,active
emp100024,Entry Level,Germany,Sales,2020-05-05,2022-01-17,1.7,Leaver,2020-06-25,Promotion,OAI42eQ62N,1,historic
emp100024,Entry Level,Germany,Sales,2020-05-05,2022-01-17,1.7,Leaver,2021-02-01,Promotion,e8FqNwgHs2,2,active
emp100026,Entry Level,Spain,Finance,2023-08-31,2024-09-11,1.03,Leaver,2024-07-13,Promotion,keqzmq0ipM,1,active
emp100027,Specialist,Germany,R&D,2024-11-15,NA,3.07,Current,2025-01-03,Salary Increase,IM27WfGzbF,1,historic
emp100027,Specialist,Germany,R&D,2024-11-15,NA,3.07,Current,2025-01-16,Promotion,AWO5fTTS1l,2,active
emp100028,Entry Level,Germany,Customer Service,2019-12-15,2022-12-18,3.01,Leaver,2020-08-12,Promotion,r4rskZh4gq,1,active
emp100029,Specialist,Germany,Consulting,2016-08-24,2020-05-10,3.71,Leaver,2017-05-25,Promotion,enXsLElNs4,1,historic
emp100029,Specialist,Germany,Consulting,2016-08-24,2020-05-10,3.71,Leaver,2019-12-15,Salary Increase,7Aa0aycGok,2,active
emp100030,Entry Level,Germany,Consulting,2022-02-27,2023-11-16,1.72,Leaver,2023-01-09,Promotion,BlowUNmbzz,1,active
emp100031,Specialist,France,Consulting,2018-02-10,2020-09-01,2.56,Leaver,2019-05-05,Salary Increase,pcmDCWzg7t,1,active
emp100034,Manager/ Senior Specialist,Germany,Consulting,2023-09-14,NA,3.35,Current,2023-11-14,Salary Increase,wF4x4ZSiTn,1,historic
emp100034,Manager/ Senior Specialist,Germany,Consulting,2023-09-14,NA,3.35,Current,2025-02-01,Promotion,stms4Xdq8F,2,active
emp100035,Specialist,Italy,R&D,2018-10-14,2023-11-16,5.09,Leaver,2022-10-25,Salary Increase,qNfeV4NkXI,1,historic
emp100035,Specialist,Italy,R&D,2018-10-14,2023-11-16,5.09,Leaver,2023-08-16,Salary Increase,7e4XEWsXyO,2,active
emp100036,Specialist,Germany,Sales,2024-12-21,NA,2.64,Current,2025-02-03,Promotion,9XvCiz3DEB,1,historic
emp100036,Specialist,Germany,Sales,2024-12-21,NA,2.64,Current,2025-04-12,Promotion,59qRn2oSrJ,2,historic
emp100036,Specialist,Germany,Sales,2024-12-21,NA,2.64,Current,2025-04-13,Promotion,G1HbIPPXTI,3,active
emp100039,Specialist,Germany,Consulting,2022-03-28,2025-02-08,2.87,Leaver,2025-02-07,Promotion,zLI6TOUEK3,1,active
emp100040,Entry Level,Netherlands,Sales,2021-05-06,2023-12-26,2.64,Leaver,2022-08-26,Parental Leave,4XRFF3KGWk,1,active
emp100042,Specialist,Germany,Consulting,2024-01-12,NA,2.93,Current,2024-08-31,Promotion,4HmJmWnB78,1,historic
emp100042,Specialist,Germany,Consulting,2024-01-12,NA,2.93,Current,2025-03-23,Salary Increase,7sQqzujvmz,2,active
emp100043,Specialist,Germany,HR,2023-02-13,NA,2.94,Current,2023-02-21,Promotion,6PnBXlWXhO,1,historic
emp100043,Specialist,Germany,HR,2023-02-13,NA,2.94,Current,2025-03-23,Promotion,47P2DNbX9k,2,active
emp100044,Entry Level,Italy,HR,2021-03-01,2022-11-24,1.73,Leaver,2021-07-08,Promotion,aIwOidTBsM,1,active
emp100045,Specialist,Germany,Consulting,2019-01-19,2021-05-31,2.36,Leaver,2019-02-08,Promotion,DxKZ35bkbe,1,historic
emp100045,Specialist,Germany,Consulting,2019-01-19,2021-05-31,2.36,Leaver,2020-01-16,Promotion,crKdlghNi3,2,active
emp100048,Entry Level,Germany,Consulting,2023-10-28,NA,2.4,Current,2024-03-28,Promotion,BGPzAbvcAg,1,historic
emp100048,Entry Level,Germany,Consulting,2023-10-28,NA,2.4,Current,2024-08-22,Promotion,m8orjHPQuk,2,active
emp100050,Entry Level,Netherlands,R&D,2018-05-28,2020-06-11,2.04,Leaver,2018-10-05,Department Change,WVlxnNv7AH,1,active
