Test_id,Adjustment,Ambition,Sociability,Interpersonal_Sensitivity,Prudence,Inquisitive,Learning_Approach,Status
test100001,70.1186288454852,94.044757775740507,77.43092823181672,73.87004644173827,93.72786544999516,40.747446404624476,76.09305279242835,hired
test100002,84.57408008920987,74.19699384847931,65.78966296096407,83.54816803908955,97.13540264299576,57.582693655228255,90.00129577778672,hired
test100003,80.50504781595117,88.45836797847794,88.12698888425133,96.61827177985084,81.71367464356757,62.37082994569306,73.69355434602944,hired
test100004,56.43232073847936,81.22467827127369,70.84779100990504,87.62930351592688,74.65615695962882,48.99555516436321,85.72585745573193,hired
test100005,76.98864321488928,77.15149340114256,71.3460394150577,70.44858125384935,70.98001862926849,53.43753179620239,74.73405851073163,hired
test100006,81.14443843732096,73.19119055349563,59.96437450780349,80.83010313033036,93.30158049598845,48.90689443920829,79.59538635056933,hired
test100007,67.40289825354559,81.26157303339879,89.395548137133,69.12099253518126,57.94977857460098,67.83907772466935,78.60369380718154,hired
test100008,67.27949386062801,85.54566683558393,76.2281064947631,82.08647789663172,86.65250280012793,64.02867774372494,69.53581446463296,hired
test100009,69.85535811106665,71.56076962549128,69.90496397078995,59.49374824084881,93.97034396022045,65.18804579998009,70.26831075365851,hired
test100010,76.6673396645262,80.36626182876633,60.519223845438304,73.4114005035916,94.27829837038163,44.12738446134173,89.21421993499025,hired
test100011,67.09380830221049,76.2403830387966,73.26560853494122,100,86.02538396103833,53.208616363863285,71.20456064810232,hired
test100012,59.442081072781725,89.96280154784937,63.75632211303805,70.91217479826878,67.1535441812009,60.1368451469108,81.52471484015236,hired
test100013,68.40089664499149,78.63386704006432,71.11301501188879,69.58665402749044,71.33404324882412,53.95002792676828,78.66945823203696,hired
test100014,56.26699342381657,99.41631804248672,80.27191215817663,70.74382379742718,93.86413067885238,54.4468267093117,64.33109666997598,hired
test100015,63.53131342744269,88.85713026280308,66.4582783812333,71.36542824312906,91.74600168772456,59.77844291026864,82.87603290264619,hired
test100016,55.146842244053914,89.67703190297489,70.77985794200498,81.658682372046,95.19819028524161,56.81833158361033,88.09917132814628,hired
test100017,87.06530907487536,87.91339607949288,76.17336122004548,78.86578820813924,88.73595085764164,64.56877653831891,82.09600201029366,hired
test100018,74.09421704180632,86.50099299923724,83.00216519924491,69.55434237099118,89.80915180492872,49.54492231110475,81.37746918123997,hired
test100019,67.84528779357349,92.69012830773312,80.5867059079701,100,87.27537417604263,44.08385208095292,90.91879901175534,hired
test100020,68.82131995510123,65.30713262727053,83.79126585213076,70.01974898028598,73.18186721905839,67.71677070816,90.39424809800167,hired
test100021,60.938262340249665,82.80934218418416,72.96320848382435,88.9589217073743,83.57017538834714,41.850802021771784,73.95907765643382,hired
test100022,74.92288401898134,78.80155268409413,61.91644096491193,82.22192829942354,85.21599342475045,50.92369807010246,74.32737523393777,hired
test100023,73.81936612692363,88.4513072789388,59.724610460577324,97.07979132698665,100,60.75044483344183,86.0535858353022,hired
test100024,74.72203879280225,100,58.965550111281964,86.99578639514246,66.48047071295737,57.183643234253395,81.36976741741303,hired
test100025,73.68853196658614,92.38139728851148,80.81978390853875,100,83.80392485271851,66.99316131923175,76.54889748162816,hired
test100026,55.810657908771745,80.45269462866433,65.45409636805284,75.14378540585798,80.33246252721159,27.9417819097223,86.41966091785743,hired
test100027,74.06048040489854,99.33165897606703,62.96678732501298,86.66744441004606,76.22861200695743,62.26656389925802,80.51149710889348,hired
test100028,70.13660493641221,87.87812974824391,55.302934450327015,90.94337059119673,84.1051157144173,57.01159321873995,75.39397962051325,hired
test100029,65.75735181299966,72.58956966698223,59.37204681637323,78.09221007144895,92.96579288473104,56.66715608729624,67.39032118894394,hired
test100030,64.78333998848602,92.94100641380378,62.815951099838486,83.04880332880768,70.19398255652452,47.50883165181658,72.03711287072018,hired
test100031,60.20466615174162,98.67239822719334,65.05157472400722,54.173206884497915,89.93672163410459,75.63244122494892,64.4615435373796,hired
test100032,80.76549528145458,95.4168368393521,66.81578924660639,89.00273606645713,82.05195694650362,35.024612590185605,89.66559065692087,hired
test100033,64.68245324925694,94.63326026552046,64.58596997367687,72.48982228561545,93.49488949275961,55.21156747740713,100,hired
test100034,67.85340700257134,100,79.24627301288541,66.13377373726814,98.82707174831664,52.88700019093491,60.83846404692653,hired
test100035,72.80041402579921,77.23108711775696,87.6432710578768,85.64999117664456,74.91497517478044,55.05086702296094,61.0624581776903,hired
test100036,71.03954144505056,70.25615579246599,70.7583919976216,95.20356524983278,69.75321059810504,51.984449318857834,81.82407233116075,hired
test100037,85.10831151861571,74.13503344772313,80.53136526783385,81.65162479483644,95.43146050733628,65.54216882201659,74.99875314062285,hired
test100038,69.35330925913232,84.74855233308244,76.59190531250073,83.37393455575733,95.53795782358402,45.558313957009176,70.1537614635975,hired
test100039,81.69880760004895,91.32725530043635,61.80184294526624,86.37552642551105,95.48301503009321,56.636511696960696,56.965916388242526,hired
test100040,66.67484989259643,90.42289532497335,68.4967432011992,74.05743385293572,92.33363895540316,62.1262228784176,70.5976761616982,hired
test100041,74.72289757819541,88.97570585324304,64.25745562345901,83.30670681693536,87.43972260971691,80.25959243262523,57.808035059239174,hired
test100042,62.07321771971655,85.91692047424964,72.44483334908382,78.66146588131735,86.25045248831381,50.06500197599128,86.1398981868707,hired
test100043,77.16345349188288,99.373132635478,92.03683870109711,82.51583734342653,100,41.787974259625265,83.41551176484553,hired
test100044,68.10205443822456,73.98689386229421,75.59383115963145,73.14638027102343,99.2136698842354,54.16284031542005,84.15204203756922,hired
test100045,70.81456033267074,85.28634966447063,69.1709548778572,90.15493764844751,84.86882944293598,51.25212378176139,75.08176012262142,hired
test100046,71.60446579015633,78.95202241648242,75.03412079656663,80.85456882877791,73.37101815391057,49.21408511436312,88.78467131475816,hired
test100047,92.20665673525963,100,68.26258754822021,78.64927953258015,96.10917011550629,48.277333418824576,100,hired
test100048,58.10818603267857,80.39219256275037,82.1136324159176,65.52514734453393,76.88205250770234,54.737748335507945,78.99329731145636,hired
test100049,71.7657428617521,97.67570895616544,60.56580503881351,75.49994067586059,83.23653839255486,43.06993170632589,81.63143025095405,hired
test100050,68.34656869763442,95.19014931183213,71.02773742871638,85.08702070111893,100,53.05793373769907,69.0188357604247,hired
test100051,47.57566204587607,90.88219842948986,82.75875730136532,75.81210577478544,81.22569582240816,49.22223198253412,72.45214885896162,hired
test100052,70.73468828513305,77.67004773698436,73.21604783422835,94.9092537419406,74.5796274048491,57.08970409142994,63.0310737830787,hired
test100053,65.76764367408408,87.79029408415822,77.92390928793068,94.89498178361335,80.60341669266042,50.86922870763865,71.83387143076645,hired
test100054,72.68375667422376,86.87432906057094,66.85021626677016,91.8918635686413,92.58162693486207,48.880432354624894,85.38240459315512,hired
test100055,62.616867703575856,71.33049354105817,59.77334487504433,87.69264391843447,85.77341161267422,67.79409862926332,87.72873747569206,hired
test100056,63.50952565108528,98.79137508888446,80.64608352459031,93.89473621565514,59.86355029646893,39.959459459356566,78.53098456700626,hired
test100057,57.47750485263117,91.18760614810716,72.2335456443904,86.15647776484091,83.6411261065442,80.98807990342,100,hired
test100058,88.55114725932832,96.22133218404358,78.9593340242512,89.78807179320532,93.99901876766755,33.8588937221021,66.30135522938542,hired
test100059,52.12016090117264,81.46146681350744,80.34800893847103,76.75608242884684,69.07320287629423,45.24915002120519,74.50061589338442,hired
test100060,69.40482560552844,98.53607570063949,59.20594646614218,80.72345006354284,69.76789684770853,45.37620888845276,91.02657418705161,hired
test100061,65.2406618764058,92.26691100390677,66.77202306353294,92.94972526439587,83.37154688677522,54.79319037505168,67.767535400487,hired
test100062,58.44903381496424,82.76313393199786,70.94251142002142,87.3954977630445,85.71711312686412,56.38805130797468,70.22804946806951,hired
test100063,69.08689065274267,93.28679689348486,61.672795648941445,78.26566266304725,96.19657877053865,52.62528123767265,70.46746801816222,hired
test100064,79.96251498731624,83.51459459210204,75.91010815693522,69.05934688993449,84.68986193281201,59.717458092854486,74.65238250607466,hired
test100065,67.52458813041855,96.87473505766536,80.99588908049724,79.32880982350272,92.12889891546472,66.21702948381866,88.93779742011732,hired
test100066,68.66019425706362,100,83.94706061523924,76.28089808859616,76.02390349657733,56.04758570250148,72.30971223718323,hired
test100067,63.01286445313928,92.36230847952312,88.38508991712814,76.32217625916454,79.91215963158899,61.641519078686976,72.83223693177821,hired
test100068,90.58950418281094,83.94924952567449,67.17584525992912,97.71460291624084,75.48044840118827,53.911024628604785,82.35782711579125,hired
test100069,69.77777430828864,89.496440752598,62.36376729814507,69.59046706738019,72.2216218548495,52.25184283402054,86.20011773731035,hired
test100070,56.051022914567525,98.08345483269986,82.059762488369,67.19247268757364,74.45019771549993,67.28900065819408,72.10558633138277,hired
test100071,47.491981623947964,86.79397086907454,76.13759150039353,81.50756934210715,93.73849387014427,28.32092076292983,65.38118039353779,hired
test100072,57.765048276298245,85.34073945957412,63.00976022952179,89.61716404034605,85.19517281037562,64.72880136519967,77.48338264408028,hired
test100073,60.929773169339136,84.81228177337638,59.84617557981889,71.43086399722601,70.50587672641302,56.96366440077354,79.4978267614292,hired
test100074,64.80808002935568,96.4242460940988,63.79389976885098,77.64654813243165,92.78087327274802,64.99838911495894,75.55699588457878,hired
test100075,68.13338076702819,99.69943934782782,65.5903348651832,92.36667436681094,76.53723923911002,50.19055791427645,77.78316188231291,hired
test100076,59.282493529345885,100,79.8960618771292,85.67902715020406,100,68.63452018200391,77.59159490654338,hired
test100077,70.23226267932017,79.64047256243589,60.65955830239327,79.42370775194387,86.87730743745384,41.638425599439685,69.36245428655226,hired
test100078,56.43172705940604,94.96195108125238,59.50174162498804,83.99937944109446,92.905578910231,52.20787579165481,83.72508956659402,hired
test100079,89.37865516834282,70.92477359531789,85.44950170251138,86.27020135097298,80.16142342029,49.69848219557968,71.80312586117664,hired
test100080,62.41429423735633,84.41747862781557,91.28401095423483,81.2519863604961,83.57117580598788,55.15776706872733,72.51198223077883,hired
test100081,80.19581152816714,83.56121706482952,67.46686213347638,71.18509592081435,83.11318438476778,49.7704125844873,69.84291377027434,hired
test100082,68.16602409288306,85.08187529276327,70.33215901759624,75.02788497805079,74.58455598361394,45.19058263969748,80.59207403484386,hired
test100083,40.239247238116604,85.20045656634142,68.02855752220535,81.44715804157872,82.99405010463651,46.28273294897841,68.91987884713943,hired
test100084,76.44180583014737,92.88289219241365,76.26802148474412,74.5334223487968,86.91993126498814,54.5080178784558,70.9372906394392,hired
test100085,86.9452294319526,82.69001447274873,86.79597264570974,91.58682259201859,90.3098145484284,49.59196240731778,70.37653001433547,hired
test100086,74.30975480074314,75.39021944386238,71.65244607743003,66.29203522421533,86.97010052353401,66.3695438525442,60.3726429622278,hired
test100087,68.81367259803335,92.92981371579523,61.47011913996991,84.28642861577487,73.96871866003517,44.77600644544404,76.08014662492009,hired
