employee_id,event_date,country,job_level,department,start_date,tenure_years,new_starter
emp118225,2024-04-02,France,Entry Level,Consulting,2023-04-22,2.49,NA
emp125797,2024-04-02,France,Entry Level,Finance,2022-07-13,3.14,NA
emp115798,2024-04-02,Germany,Entry Level,Consulting,2023-08-23,2.62,NA
emp116836,2024-04-02,Germany,Entry Level,Sales,2023-02-16,2.81,NA
emp111007,2024-04-02,Italy,Entry Level,Consulting,2023-10-14,1.61,NA
emp102080,2024-04-02,Netherlands,Specialist,HR,2023-05-02,3.03,NA
emp124099,2024-04-03,Netherlands,Entry Level,HR,2023-09-07,2.06,NA
emp108912,2024-04-03,Spain,Manager/ Senior Specialist,Consulting,2020-05-03,6.8,NA
emp101727,2024-04-04,Germany,Specialist,Sales,2020-10-11,5.03,NA
emp119401,2024-04-04,Germany,Specialist,Sales,2020-12-01,4.53,NA
emp102323,2024-04-06,France,Specialist,Consulting,2023-03-18,3.12,NA
emp115816,2024-04-06,Germany,Specialist,Consulting,2022-10-30,3.33,NA
emp123274,2024-04-06,Germany,Entry Level,Consulting,2023-09-08,1.97,NA
emp124083,2024-04-06,Germany,Director/ Head of,R&D,2022-01-25,4.75,NA
emp128333,2024-04-06,Italy,Entry Level,Consulting,2023-05-18,2.47,NA
emp120861,2024-04-07,Germany,Specialist,HR,2023-09-24,3.32,NA
emp100348,2024-04-08,France,Entry Level,Marketing,2024-03-24,1.56,NA
emp102405,2024-04-08,France,Specialist,R&D,2023-06-24,2.07,NA
emp128134,2024-04-08,Germany,Specialist,Consulting,2023-11-14,2.27,NA
emp121473,2024-04-08,Germany,Specialist,Sales,2023-10-23,2.75,NA
emp113943,2024-04-08,Spain,Specialist,Consulting,2022-04-13,3.93,NA
emp121032,2024-04-08,Spain,Specialist,Consulting,2021-11-04,3.76,NA
emp117832,2024-04-09,Germany,Specialist,Consulting,2022-11-07,2.74,NA
emp122084,2024-04-09,Germany,Specialist,Consulting,2023-06-10,2.65,NA
emp127550,2024-04-09,Netherlands,Director/ Head of,Customer Service,2023-05-26,2.96,NA
emp114308,2024-04-09,Netherlands,Manager/ Senior Specialist,Marketing,2023-12-22,3.23,NA
emp114576,2024-04-09,Spain,Specialist,Consulting,2022-02-17,3.98,NA
emp110928,2024-04-10,France,Entry Level,Consulting,2022-10-20,2.73,NA
emp114879,2024-04-10,France,Specialist,Sales,2022-02-19,3.5,NA
emp111218,2024-04-12,France,Manager/ Senior Specialist,Consulting,2024-01-29,1.93,NA
emp104980,2024-04-12,Germany,Specialist,R&D,2023-12-24,2.08,NA
emp100083,2024-04-12,Netherlands,Entry Level,Customer Service,2023-05-17,2.03,NA
emp115019,2024-04-12,Netherlands,Specialist,R&D,2021-02-03,4.82,NA
emp102358,2024-04-13,Germany,Specialist,Consulting,2022-12-22,3.09,NA
emp107587,2024-04-13,Germany,Specialist,Consulting,2024-01-15,3.18,NA
emp121606,2024-04-13,Germany,Manager/ Senior Specialist,Consulting,2020-07-16,5.84,NA
emp117890,2024-04-13,Germany,Entry Level,R&D,2023-10-25,2.38,NA
emp128874,2024-04-13,Italy,Specialist,Consulting,2022-12-28,3.43,NA
emp103657,2024-04-14,Germany,Entry Level,Consulting,2024-03-15,1.18,NA
emp116939,2024-04-14,Germany,Specialist,Customer Service,2023-10-01,1.83,NA
emp114834,2024-04-14,Netherlands,Specialist,Consulting,2023-06-01,3.32,NA
emp128665,2024-04-14,Spain,Manager/ Senior Specialist,Customer Service,2022-03-04,5.01,NA
