employee_id,job_level,department,start_month,status,stage,applicant_id,job_id,gender,question_1,question_2,question_3
emp140987,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,EpFUU74f0A,p7kXzXTs6f,Female,NA,NA,NA
emp140988,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,ZfK4W3lY2q,DwwLyyZvEf,Female,NA,NA,NA
emp140990,Specialist/ Supervisor,Customer Service,2020-01-01,hired,Stage 4: Team Interview,rXFbvS9HhO,jhWABYTRQU,Female,NA,NA,NA
emp140991,Entry Level/ Manual,Finance,2020-01-01,hired,Stage 4: Team Interview,EMEbuJzNn4,G4brHjYFm5,Female,NA,NA,NA
emp140992,Manager/ Senior Specialist,R&D,2020-01-01,hired,Stage 4: Team Interview,lPSiIKnDo9,kxi0AqptzN,Male,NA,NA,NA
emp140993,Specialist/ Supervisor,Finance,2020-01-01,hired,Stage 4: Team Interview,QbfJESllZh,WXtR1CMsts,Female,NA,NA,NA
emp140994,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,zBhqqOEl7E,NjO8L4DPox,Female,NA,NA,NA
emp140995,Entry Level/ Manual,HR,2020-01-01,hired,Stage 4: Team Interview,U49wyXxFRc,eqRB6Q3Ija,Male,NA,NA,NA
emp140996,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,GPB6yxzXws,9tNjDIYOuJ,Male,NA,NA,NA
emp140997,Specialist/ Supervisor,Sales,2020-01-01,hired,Stage 4: Team Interview,K2N7sry9K2,BpWPkG4R9B,Male,NA,NA,NA
emp140998,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,7YtnK69meS,fP9y9uuyEt,Male,NA,NA,NA
emp140999,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,S9rwGjlNbG,sCiRW2m4CF,Male,NA,NA,NA
emp141000,Specialist/ Supervisor,Marketing,2020-01-01,hired,Stage 4: Team Interview,zvh0dfzCvl,WKPNrvjW67,Female,NA,NA,NA
emp141001,Specialist/ Supervisor,Sales,2020-01-01,hired,Stage 4: Team Interview,mYNmLf2Byt,kWA1mt8HkX,Male,NA,NA,NA
emp141002,Entry Level/ Manual,HR,2020-01-01,hired,Stage 4: Team Interview,zFkyKxHnGO,RwxjiTDL9x,Female,NA,NA,NA
emp141003,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,9LBGXn1zJA,yeTHKXf1J1,Male,NA,NA,NA
emp141004,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,RyGLsD1XVg,Gr6ioRAi5X,Male,NA,NA,NA
emp141005,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,X8GHqIccPK,GX86EZAtUK,Male,NA,NA,NA
emp141006,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,UC29znJfHu,KoaJUayXc3,Female,NA,NA,NA
emp141007,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,2WpRPNNCRe,d3s6YUIaUx,Male,NA,NA,NA
emp141008,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,ENUuDZBfXd,d5RCX4P2OR,Male,NA,NA,NA
emp141009,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,OSprKOgzWr,fJ7ap1eCim,Female,NA,NA,NA
emp141010,Specialist/ Supervisor,Marketing,2020-01-01,hired,Stage 4: Team Interview,ujssLfc64J,b9iiySxbdA,Female,NA,NA,NA
emp141011,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,bnywvrheDs,BTBZlmp2yX,Male,NA,NA,NA
emp141012,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,5augJbVpZY,7wVlw9lxYH,Male,NA,NA,NA
emp141013,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,k8bFcCKk3B,Nki8Tf1muq,Female,NA,NA,NA
emp141014,Director/ Head of,Customer Service,2020-01-01,hired,Stage 4: Team Interview,qjhKHkiI3K,O3bfINxFsi,Male,NA,NA,NA
emp141015,Specialist/ Supervisor,Marketing,2020-01-01,hired,Stage 4: Team Interview,6KTgD2Ex5o,tvtM04A9Lj,Female,NA,NA,NA
emp141016,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,GFDzFGot5e,Tcr8eSxZQh,Female,NA,NA,NA
emp141017,Specialist/ Supervisor,Customer Service,2020-01-01,hired,Stage 4: Team Interview,PixjBb9nNE,TfqkDc5Z28,Male,NA,NA,NA
emp141018,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,wXIxKicgJh,pg6ChATIof,Male,NA,NA,NA
emp141019,Specialist/ Supervisor,Sales,2020-01-01,hired,Stage 4: Team Interview,UKRA3xiX5Q,HQG6rqQgRv,Male,NA,NA,NA
emp141020,Specialist/ Supervisor,Sales,2020-01-01,hired,Stage 4: Team Interview,bSqK5z8rTy,RxYCs4sxVv,Male,NA,NA,NA
emp141021,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,hFDA5qRcli,4moVz0RSNy,Female,NA,NA,NA
emp141023,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,OeIAn1SmYA,DnCgg1XR52,Male,NA,NA,NA
emp141024,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,6o8nHo7Es3,JIqLxB9Pkp,Male,NA,NA,NA
emp141025,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,6xEX9tdFiR,bXUCXdDvcV,Male,NA,NA,NA
emp141026,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,6DJAYTliDt,CoUJzXVbRp,Female,NA,NA,NA
emp141027,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,tZAxg8Zils,t5XvgbyCU9,Female,NA,NA,NA
emp141028,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,2yw2nDOedp,3dV3yjnQkR,Male,NA,NA,NA
emp141029,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,0U53vWNmhn,z1jMK2uklX,Male,NA,NA,NA
emp141031,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,EtgoLQpIr5,ozwv6T7SID,Male,NA,NA,NA
emp141032,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,mY8ARkoLkI,qIYhN91hv0,Male,NA,NA,NA
emp141036,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,CD3cYNSQCB,aD6ZJPSBjb,Female,NA,NA,NA
emp141037,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,KcJNExXW8v,1cC4miGMfw,Male,NA,NA,NA
emp141038,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,1V1SgUxfd0,2Cgvha63lp,Male,NA,NA,NA
emp141039,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,zfDWVmpTdR,BinolREyFh,Male,NA,NA,NA
emp141042,Specialist/ Supervisor,Finance,2020-01-01,hired,Stage 4: Team Interview,S6A7KPLTFs,JURTlRnNVD,Male,NA,NA,NA
emp141043,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,tRasvgOkS5,M2Qmz29br6,Male,NA,NA,NA
emp141045,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,Yw1sjLc7Sq,zI3pplfzP6,Male,NA,NA,NA
emp141046,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,eZsy8CAHzw,7lKmMlmaui,Male,NA,NA,NA
emp141047,Manager/ Senior Specialist,R&D,2020-01-01,hired,Stage 4: Team Interview,b8XY8JKm8K,RLVTnm0JoJ,Male,NA,NA,NA
emp141049,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,gYO6lwmXj2,AMODChknDw,Male,NA,NA,NA
emp141050,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,ILq3nV8WMu,nDWynYYqfm,Male,NA,NA,NA
emp141051,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,y5eM9JI6Nc,xqh6KeknOc,Male,NA,NA,NA
emp141052,Entry Level/ Manual,Marketing,2020-01-01,hired,Stage 4: Team Interview,PaVGDrFLgl,Rajj5pLdbm,Female,NA,NA,NA
emp141054,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,G7TkSPWYF3,aqhZk3VxTj,Male,NA,NA,NA
emp141055,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,qrrzHXDtnv,Vu3nUeXdyQ,Female,NA,NA,NA
emp141056,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,Mj1zSb5qWa,hyTkurRaIk,Female,NA,NA,NA
emp141057,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,bxQ7sYBQAY,CLDgwtBYXs,Female,NA,NA,NA
emp141058,Director/ Head of,R&D,2020-01-01,hired,Stage 4: Team Interview,dC6yVINeBd,ePGKWzPzxU,Male,NA,NA,NA
emp141059,Manager/ Senior Specialist,Marketing,2020-01-01,hired,Stage 4: Team Interview,AZopSx9TJv,ZitDb1oMfv,Female,NA,NA,NA
emp141060,Specialist/ Supervisor,HR,2020-01-01,hired,Stage 4: Team Interview,57tvP0yptJ,sqnAzjvyeS,Male,NA,NA,NA
emp141061,Specialist/ Supervisor,Marketing,2020-01-01,hired,Stage 4: Team Interview,R3AnMm7DPU,5RpBzyCGku,Female,NA,NA,NA
emp141062,Manager/ Senior Specialist,Sales,2020-01-01,hired,Stage 4: Team Interview,qFfYMQtj4c,Sotkx8hP5w,Male,NA,NA,NA
emp141063,Entry Level/ Manual,Finance,2020-01-01,hired,Stage 4: Team Interview,rIDz5WYu7c,xMJganwFZo,Female,NA,NA,NA
emp141064,Manager/ Senior Specialist,R&D,2020-01-01,hired,Stage 4: Team Interview,koHILTTbXG,Wj7I0UIOOy,Male,NA,NA,NA
emp141065,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,itLvv9LHw9,RCpdoaoBpo,Male,NA,NA,NA
emp141066,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,imqTcMpURA,A7afwmdOrJ,Female,NA,NA,NA
emp141067,Entry Level/ Manual,Marketing,2020-01-01,hired,Stage 4: Team Interview,hJ8BQgJOKY,185D4UIO61,Female,NA,NA,NA
emp141068,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,CjwBujP7Tc,4eXTqtPogO,Male,NA,NA,NA
emp141069,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,x5lVIR4CBO,an2Iy1dzZG,Male,NA,NA,NA
emp141070,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,N0KMeCga9q,62TQqTpBAz,Male,NA,NA,NA
emp141072,Director/ Head of,Production,2020-01-01,hired,Stage 4: Team Interview,xLqF3QlvyM,WGyTLkPm1l,Male,NA,NA,NA
emp141073,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,3b702aeVSO,9fyClQKW4w,Female,NA,NA,NA
emp141074,Entry Level/ Manual,Marketing,2020-01-01,hired,Stage 4: Team Interview,P9SvLuAz0Y,j8VZ9ARbSU,Male,NA,NA,NA
emp141076,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,rpWvQcUCw2,utJBSSOFA3,Female,NA,NA,NA
emp141077,Specialist/ Supervisor,Marketing,2020-01-01,hired,Stage 4: Team Interview,vVjKssc9yA,R68E5EE2Zk,Male,NA,NA,NA
emp141078,Specialist/ Supervisor,HR,2020-01-01,hired,Stage 4: Team Interview,YJSoP8nNxP,ydgrobsCmr,Female,NA,NA,NA
emp141079,Specialist/ Supervisor,Marketing,2020-01-01,hired,Stage 4: Team Interview,xzIsfnfD4Y,IWntqWZyLM,Female,NA,NA,NA
emp141080,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,2LtqCVGVX9,7P1BYe0G2v,Male,NA,NA,NA
emp141081,Specialist/ Supervisor,Production,2020-01-01,hired,Stage 4: Team Interview,8yoQdAhYMN,Trm6J4W42a,Male,NA,NA,NA
emp141082,Entry Level/ Manual,Finance,2020-01-01,hired,Stage 4: Team Interview,pQ4VOPgToR,Wj4izgIJC5,Female,NA,NA,NA
emp141083,Manager/ Senior Specialist,Sales,2020-01-01,hired,Stage 4: Team Interview,zmvujUM8JK,XOXm973lBR,Female,NA,NA,NA
emp141084,Specialist/ Supervisor,R&D,2020-01-01,hired,Stage 4: Team Interview,w4Mo5GiJux,Y8PzXeqkll,Female,NA,NA,NA
emp141085,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,pDQH9d356u,pGbCZcWl76,Female,NA,NA,NA
emp141086,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,zpcGe5TJzA,4jmT3Furrj,Male,NA,NA,NA
emp141087,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,I0ueFG0YAL,6smV2MFwNp,Female,NA,NA,NA
emp141088,Specialist/ Supervisor,Sales,2020-01-01,hired,Stage 4: Team Interview,96rxpUGes6,DbGqitVnTt,Male,NA,NA,NA
emp141090,Manager/ Senior Specialist,Sales,2020-01-01,hired,Stage 4: Team Interview,T4vjSACzaz,uBqeCPYvjd,Female,NA,NA,NA
emp141091,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,V2QKmokOEU,sM9XkXLxDx,Male,NA,NA,NA
emp141092,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,KLsGYDSlWA,KXH08AzIyi,Female,NA,NA,NA
emp141093,Specialist/ Supervisor,Finance,2020-01-01,hired,Stage 4: Team Interview,sJKzOUNjpb,FYsavMC18A,Female,NA,NA,NA
emp141094,Specialist/ Supervisor,Production,2020-01-01,hired,Stage 4: Team Interview,ho0t6MaiJw,kcYTo7xKqq,Male,NA,NA,NA
emp141096,Entry Level/ Manual,Sales,2020-01-01,hired,Stage 4: Assessment Center,bR2gcRxywW,g251Hcu9bT,Female,NA,NA,NA
emp141097,Entry Level/ Manual,Customer Service,2020-01-01,hired,Stage 4: Team Interview,IqcRoovLhf,WOnh72Ekvz,Male,NA,NA,NA
