"","prompt","value"
"1","Production"," Appreciate the recognition for our hard work and dedication. It motivates us to keep pushing forward and delivering at a high standard. 
"
"2","Production"," As a blue collar worker, I see the need for better collaboration between departments. Breaking down silos would improve efficiency and morale on the production site.

"
"3","Production"," As a blue-collar worker on the production site, there's a sense of belonging and teamwork that's truly inspiring, but the lack of autonomy and room for new ideas can be demotivating.

"
"4","Production"," As a blue-collar worker, I appreciate the recognition and fair pay for my hard work. It gives me a sense of accomplishment at the end of the day.

"
"5","Production"," As a blue-collar worker, I appreciate the sense of belonging in my team, but I wish there was more autonomy to suggest improvements.
   
"
"6","Production"," As a blue-collar worker, I appreciate the sense of belonging within my team. It makes the tough days more manageable.

"
"7","Production"," As a blue-collar worker, I don't always feel heard or valued when I try to bring up new ideas. More autonomy and recognition would go a long way in boosting morale. (Low autonomy and lack of listening to new ideas)"
"8","Production"," As a blue-collar worker, I don't feel heard when it comes to new ideas or feedback. Autonomy is a foreign concept around here. 
   
"
"9","Production"," As a blue-collar worker, I feel like my ideas and feedback are constantly overlooked. We need more autonomy and a listening ear from higher-ups.
"
"10","Production"," As a blue-collar worker, I feel like my voice is not heard when it comes to suggesting improvements or changes in processes.
"
"11","Production"," As a blue-collar worker, I feel proud of the work we do here, but the lack of training for the expected changes leaves me feeling unprepared.

"
"12","Production"," As a blue-collar worker, I often feel like my ideas and feedback are not valued or heard, leading to a sense of low autonomy and motivation to contribute.
  
"
"13","Production"," As a blue-collar worker, I often feel like my voice is not heard when it comes to suggesting improvements or sharing feedback. More autonomy and open communication channels would make a big difference.

"
"14","Production"," As a blue-collar worker, I often feel like my voice isn't heard when it comes to suggesting improvements or raising concerns. More autonomy and openness to feedback would make a big difference. 

"
"15","Production"," As a blue-collar worker, I often feel like my voice isn't heard when it comes to suggesting improvements. It would be nice to have more opportunities to share our ideas and feedback.

"
"16","Production"," As a blue-collar worker, I often feel like my voice isn't heard when it comes to suggesting new ideas or giving feedback. More autonomy would make a huge difference.

"
"17","Production"," As a blue-collar worker, I often feel overlooked when it comes to sharing new ideas or concerns. More autonomy and open communication channels would be greatly appreciated.

"
